Knowledge Base Article Title	16-Mar	16-Feb	16-Jan	15-Dec	15-Nov	15-Oct	15-Sep	15-Aug	15-Jul	15-Jun	15-May	15-Apr	15-Mar	15-Feb	15-Jan	14-Dec	14-Nov	14-Oct	14-Sep	14-Aug	14-Jul	14-Jun	14-May	14-Apr	14-Mar	14-Feb	14-Jan	13-Dec	13-Nov	13-Oct	13-Sep	13-Aug	13-Jul	13-Jun	13-May	13-Apr	13-Mar	13-Feb	13-Jan	12-Dec	12-Nov	12-Oct	12-Sep	12-Aug	12-Jul	Total
Emergency - Police	7	6	1	2	2	4	3	15	5	1	3	4	4	6	2	2	3	7	12	10	3	7	6	11	4	9	5	4	11	15	1	7	5	2	5	2	5	3	7	3	4	5	2	4	0	229
Emergency Shelter for Families (Adults with Custody of Minor Children)	7	13	7	14	6	6	10	7	10	4	9	7	5	8	10	4	5	6	2	7	5	2	5	2	11	1	1	2	2	1	1	2	3	1	1	1	1	1	1	4	0	0	0	0	0	195
Escalation Reports	7	2	4	7	7	5	18	4	4	9	17	9	7	6	3	7	9	12	14	28	1	0	4	2	0	1	4	4	8	1	6	5	20	4	23	18	4	5	4	3	15	2	27	29	1	370
"Food Permit - Restaurants, Bars, Markets, Concession Stands, Push Carts, Mobile Food Units, Special Events"	7	11	10	9	6	7	7	10	3	9	7	12	10	7	11	6	4	5	7	6	11	13	9	7	11	3	8	5	1	9	7	8	15	14	12	16	8	3	5	2	6	7	3	1	0	338
Free Meals - For Persons with Low to No Income	7	6	3	6	8	3	4	6	4	6	6	6	4	9	4	5	15	9	7	1	2	0	0	1	2	2	1	2	3	0	2	3	0	4	0	0	4	2	4	2	1	0	0	2	0	156
Homeward Bound (Bus Ticket Home)	7	10	8	19	3	3	7	11	1	5	10	3	2	4	7	6	8	3	3	4	11	6	2	1	3	1	0	2	1	5	1	0	3	3	2	2	3	2	5	2	4	2	0	1	0	186
Human Rights Commission - Discrimination Complaint - How to file	7	4	7	6	7	2	14	12	7	2	4	8	3	1	1	3	3	9	5	5	5	5	5	2	5	6	6	2	9	9	9	1	3	5	2	3	1	0	0	1	0	1	0	0	0	190
Is my deed in a trust or not in a trust?	7	1	3	3	3	8	3	6	4	2	5	2	1	1	3	1	0	1	3	1	0	1	0	0	2	2	3	4	1	3	1	3	3	2	1	5	2	4	2	5	4	1	3	2	1	113
List of Taxi Companies	7	7	16	17	24	20	11	13	12	19	15	20	15	8	11	22	17	27	25	30	18	27	30	18	23	13	34	19	16	23	17	41	28	26	33	29	39	3	11	20	12	23	25	24	2	890
Mayors Office on Disability - General Information	7	6	1	3	2	3	6	14	5	7	4	3	6	1	3	5	5	10	7	11	7	6	2	6	19	8	11	5	13	2	8	12	11	9	18	28	13	7	16	9	5	4	8	3	0	339
Minimum Wage Ordinance (MWO)	7	4	12	6	4	5	6	7	2	7	7	12	12	5	9	10	11	8	6	3	3	5	6	3	3	4	5	2	2	8	6	4	11	2	2	1	4	5	14	4	5	3	0	2	0	247
"MUNI Elevator, Escalator and Lift status information"	7	3	0	4	5	5	7	2	5	5	1	4	4	2	5	1	3	2	5	3	8	5	0	3	0	0	4	5	1	6	7	5	3	1	1	3	4	8	4	1	0	0	4	3	1	150
Municipal Codes (Ordinances) On-Line	7	16	8	5	4	4	5	6	8	6	9	3	9	3	3	2	7	11	10	7	9	6	9	4	8	12	14	2	12	7	16	11	20	10	6	10	6	6	3	4	2	4	5	7	0	326
Oversize Vehicle Overnight Parking Restriction	7	2	4	4	3	5	6	1	3	1	4	5	2	1	2	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55
Parking in White (Passenger) Zone Illegally	7	11	12	9	9	11	16	7	7	7	7	7	10	15	10	8	8	9	5	8	15	4	7	4	6	5	8	7	8	8	7	6	5	5	4	3	5	2	6	6	1	5	3	9	0	322
Planning Department - General Plan Amendment (M)	7	0	1	0	7	0	2	3	0	0	2	4	4	2	4	3	3	0	0	5	1	2	2	3	1	0	4	1	3	3	3	2	0	0	6	4	2	0	0	0	2	1	2	1	0	90
Presidio of San Francisco	7	3	1	1	4	6	2	0	5	2	5	3	4	1	2	1	3	4	6	2	4	4	1	1	1	0	0	2	1	2	2	0	3	2	1	1	3	0	0	0	0	0	0	2	0	92
Recorded Document Request	7	8	2	3	2	2	2	8	4	5	2	8	5	5	2	0	1	1	1	0	0	2	0	3	1	0	0	1	1	6	1	3	4	13	5	5	4	5	4	2	3	1	2	5	0	139
Recording a document	7	0	4	5	3	2	3	1	1	2	0	1	3	1	1	0	2	1	1	2	2	1	1	5	6	4	5	2	4	2	1	11	5	9	7	3	5	1	1	0	0	3	1	1	0	120
Rent Board - Landlord Harrassment and Discrimination Claims	7	0	1	1	0	2	0	0	1	4	1	0	1	2	0	0	0	0	0	1	1	0	0	0	0	1	4	0	1	1	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	34
Report Illegal construction (working without a permit)	7	15	13	11	9	12	23	9	9	12	14	14	8	6	6	3	2	5	11	9	4	4	1	11	7	3	8	3	8	12	4	5	10	6	8	15	13	6	6	4	4	8	4	7	0	359
San Francisco Travel [previously known as Convention and Visitors Bureau] - Contact Information	7	7	4	0	3	6	6	9	9	6	9	2	3	1	2	4	2	3	4	5	9	6	9	1	10	2	5	6	3	7	4	9	4	5	3	10	5	3	8	2	3	8	4	5	4	227
SFO Airport Police - Lost and Found Unit	7	1	0	1	3	2	0	2	0	2	2	2	1	3	3	0	2	1	4	2	2	4	7	5	12	11	5	8	1	5	2	4	2	1	2	1	0	1	0	0	0	1	1	1	1	115
Shared School Yard Project - Weekend Open Schoolyards / Playgrounds	7	35	20	1	2	2	9	7	0	6	0	0	1	5	2	3	1	0	0	1	3	0	7	8	3	5	1	0	2	3	1	2	1	2	2	12	3	9	0	0	0	1	0	0	0	167
Sheriff Department - Serve Process	7	1	3	7	4	1	4	6	7	2	2	0	1	4	3	0	0	7	5	3	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73
Sit Lie Ordinance Information	7	1	0	1	1	0	1	2	1	0	0	1	2	0	0	1	2	0	2	0	0	0	0	1	0	0	1	0	1	1	0	0	0	1	1	1	1	1	0	0	0	4	0	4	0	39
Small Business Revolving Loan Fund (Small Business Loan)	7	3	5	1	1	4	4	0	2	0	2	1	3	2	3	2	0	1	3	1	0	2	1	1	0	0	0	0	2	0	0	2	0	2	0	1	1	2	0	1	1	1	2	0	0	64
SRO Collaboratives - SRO Hotel Tenant Advocacy	7	9	9	10	10	3	8	8	11	8	5	3	7	8	6	4	5	7	4	5	3	3	7	2	8	14	19	10	6	6	8	11	11	17	7	12	4	3	2	2	1	2	1	5	0	301
Stolen Car (Automobile)	7	4	6	5	1	4	2	0	3	1	5	4	3	2	4	7	8	6	6	4	2	5	4	4	4	5	6	5	5	6	13	10	2	15	9	3	1	1	5	7	1	2	3	3	1	204
Storm Readiness Brochure	7	9	4	1	4	7	5	2	4	5	2	0	1	3	1	5	2	5	6	0	4	3	4	4	5	4	4	1	1	2	3	1	5	4	7	2	2	0	0	1	0	0	0	1	1	132
Street Closures - ISCOTT - General Information	7	17	20	5	8	18	20	8	13	9	12	18	12	4	8	6	8	13	7	3	1	2	4	4	3	5	2	1	6	4	4	1	3	4	3	2	7	0	0	1	2	2	1	1	0	279
Travel Plan Assistance at SFO Airport	7	2	2	1	6	2	6	3	1	3	2	0	2	0	1	3	1	1	0	3	1	3	3	0	2	2	6	2	2	2	3	2	6	1	2	2	0	0	0	0	0	0	0	0	0	85
Treasurer and Tax Collector:  Returned Checks/Payments (Non-Sufficient Funds/NSF)	7	1	6	16	22	6	0	3	2	4	1	11	4	8	8	23	3	8	11	8	3	11	4	13	8	25	5	5	0	3	3	1	2	2	6	7	5	0	0	0	0	0	0	0	0	255
Treasurer and Tax Collector: Public Information Requests - General	7	1	5	4	8	9	2	7	7	13	7	6	8	11	21	8	6	7	11	6	15	4	6	6	28	42	17	12	3	8	4	5	9	8	14	7	3	2	1	1	1	3	1	4	0	358
Turn Brown Leaves Green Campaign (free compost bags and coupons for new rakes)	7	2	2	7	2	4	4	1	2	3	1	5	1	3	5	1	1	2	1	3	3	1	4	4	2	2	2	3	3	2	2	0	3	0	4	4	2	4	1	0	1	0	1	1	1	107
US Dept of Housing and Urban Development (HUD)	7	9	4	3	5	2	6	5	0	6	2	2	10	2	7	4	2	6	4	8	8	6	3	10	14	1	7	1	2	3	14	9	1	1	5	0	1	5	4	1	2	3	5	5	1	206
Water Bill - Payment Options	7	2	7	3	3	2	6	5	3	4	3	10	5	8	6	5	21	7	14	6	14	8	6	7	6	4	7	5	3	7	6	8	5	10	5	9	12	10	6	10	9	7	14	7	0	312
Water Bill - Start or Stop Service	7	4	6	5	8	10	9	5	3	7	7	10	4	7	6	11	10	9	7	11	14	8	6	9	11	5	22	9	8	8	2	11	14	7	7	12	8	10	9	7	6	5	10	8	2	364
Water Quality - White particles	7	3	7	3	4	6	11	8	7	2	3	2	4	2	3	4	3	4	2	4	0	1	0	4	4	12	7	9	10	8	2	4	2	2	6	5	0	0	0	1	6	4	0	1	0	177
Wires Installed on Street - Vehicle Traffic Counters	7	1	4	2	9	2	1	6	2	1	1	2	2	5	1	6	0	1	1	1	0	0	1	0	2	0	0	2	0	4	1	0	0	1	4	0	2	0	0	0	0	3	0	4	0	79
311 Virtual Office (Lagan) Technical Assistance for City Departments	6	0	0	2	4	1	3	6	3	1	2	1	0	1	1	1	3	4	3	3	2	4	4	1	1	1	2	1	0	0	0	3	0	0	1	0	2	0	2	0	0	0	0	2	0	71
AC34 Team Relocation Manual - Immigration & Visas	6	2	4	8	2	2	5	2	4	2	2	1	1	1	5	5	2	2	4	7	4	0	5	2	6	0	3	3	2	2	6	3	8	3	7	2	4	5	3	1	4	5	0	37	31	213
Accessible Pedestrian Signals (APS) - General Information and Installation Requests	6	5	3	2	1	3	4	5	5	1	4	5	6	0	5	2	1	8	1	2	2	2	2	1	3	0	2	1	7	11	10	3	5	3	2	7	4	0	1	0	0	1	1	0	0	137
Alcatraz Island	6	1	7	2	6	8	3	6	1	6	6	6	6	1	5	16	6	4	11	6	8	10	4	16	10	6	6	6	7	2	6	9	16	9	6	6	8	4	2	2	1	0	1	6	1	265
Alcohol/Liquor License (Alcoholic Beverage Control / ABC License)	6	4	4	1	5	4	7	5	7	5	7	6	6	2	5	3	3	3	6	4	4	3	3	5	3	6	14	3	4	3	11	3	4	13	6	9	12	1	3	3	2	7	5	8	0	228
Americans with Disabilities Act Information	6	0	2	0	0	1	10	1	2	2	1	2	1	4	4	3	2	1	2	1	2	2	3	2	5	3	5	2	1	3	1	4	3	2	0	3	1	1	2	0	2	2	0	1	0	95
Armored Car / Vehicle - Parking for Delivery / Pickup	6	3	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
Assessors Office -  Obtain Copies of Recorded Documents	6	3	11	3	3	4	2	4	1	3	2	6	8	2	5	1	2	2	1	2	4	1	1	7	3	0	2	4	4	5	6	3	2	3	4	1	6	2	3	3	0	3	0	1	0	139
Blue Book - SFMTA Construction Regulations	6	16	4	4	0	1	2	4	5	1	1	0	1	0	3	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	0	0	61
Business Personal Property - Assessment Rules	6	2	12	1	3	6	6	11	16	4	21	3	1	2	5	1	0	4	1	2	3	0	0	0	1	1	1	0	0	4	2	3	3	2	6	1	2	0	0	0	0	0	0	0	0	136
City Approved Vendors	6	4	5	4	11	5	6	8	9	4	8	7	3	5	7	5	4	8	7	2	2	3	5	2	4	8	10	2	1	5	4	6	1	7	3	2	3	0	0	0	0	0	0	0	1	187
City Hall Docent Tours	6	0	2	0	3	1	1	1	2	3	1	3	0	2	1	2	0	4	1	1	0	0	2	1	4	2	0	1	1	0	2	2	3	0	2	1	3	0	1	1	0	0	0	2	0	62
City Vehicle Filling Stations	6	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	16
Code Enforcement Hotline	6	0	0	1	1	0	1	1	0	0	0	2	1	0	1	0	1	5	1	2	0	2	0	1	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	30
Collecting Signatures for Ballot Measures/Initiatives in Muni Stations	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
"Color Curb Program - Blue Zone, Handicap - Locations"	6	7	5	3	4	0	4	3	2	2	3	0	2	4	1	4	3	1	2	2	2	1	2	3	22	9	1	4	1	7	1	3	4	0	6	3	2	0	3	1	1	0	1	6	1	142
"Complaint - Banners, Signs - Expired Permit, Hanging, Damaged"	6	3	0	2	4	3	8	2	9	9	9	3	0	6	11	9	2	5	8	7	5	7	11	14	6	7	1	5	4	10	16	1	2	16	7	5	0	0	2	0	0	0	0	0	0	225
Complaint:  Hypodermic Needles on Street or Sidewalk	6	1	3	1	1	0	3	2	2	1	3	4	4	2	14	12	15	6	10	16	1	16	3	11	3	7	6	5	25	9	5	7	4	3	4	16	10	1	1	1	0	0	0	0	0	244
Complaint: my neighbor is hoarding trash and it stinks	6	3	1	0	4	3	6	3	2	2	4	2	0	2	1	0	1	4	2	2	5	5	1	2	6	5	5	1	1	2	2	2	2	4	7	5	4	2	0	2	1	2	1	1	0	116
Create Assessments for Unsecured Properties	6	5	5	0	1	7	5	11	29	6	1	2	8	1	4	2	1	1	5	4	1	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	111
Daylight Saving Time (Time Changes)	6	2	0	0	0	8	0	2	0	0	1	0	15	1	0	0	2	9	0	0	0	1	0	0	10	3	4	1	8	2	3	2	4	1	1	1	9	0	0	0	1	2	1	0	0	100
Delivery/ Service Vehicles- All Other Noise Complaints	6	4	0	1	9	11	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56
Dept of Environment - Public Information Requests	6	3	2	0	1	1	2	1	2	5	5	2	5	2	1	2	2	0	1	8	3	2	3	1	1	1	4	3	2	3	0	4	2	2	2	4	3	2	0	0	0	2	0	3	0	98
"Dept of Technology - IT Help Desk, After Hours Limited Support"	6	3	1	0	2	0	5	1	1	1	0	0	0	2	2	5	4	2	3	2	5	8	2	4	0	4	3	2	6	7	8	2	5	4	0	3	6	3	2	1	3	0	1	2	2	123
Did not receive Business Property Statement (571L)	6	0	1	0	0	0	0	4	1	1	4	3	1	0	0	1	0	0	1	0	0	0	0	0	4	3	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	33
Digital TV Transition	6	2	0	0	3	0	1	1	1	0	2	0	0	0	0	1	0	0	0	0	0	0	4	0	1	0	0	2	2	3	1	2	3	0	2	1	1	4	2	2	1	4	3	1	0	56
District Attorney - Public Integrity	6	1	1	2	0	0	0	2	1	0	2	2	6	1	10	3	2	3	4	3	2	5	1	0	1	0	7	4	3	4	2	0	5	2	2	1	3	1	0	0	0	0	0	0	0	92
Dog in Hot Car	6	3	2	1	2	0	1	2	3	3	0	4	4	4	2	2	1	7	1	4	9	4	8	3	3	7	3	1	1	2	6	2	4	3	3	4	3	2	2	1	1	1	1	0	0	126
Elections - How to Observe the Elections Process	6	2	1	0	13	12	2	2	0	0	0	0	0	0	0	1	14	17	2	1	1	6	4	1	3	1	1	5	6	6	2	3	0	0	1	1	3	0	1	0	19	50	8	2	0	197
Elections Commission - General Information	6	0	1	0	3	2	2	1	1	1	1	0	0	0	0	1	5	6	0	0	2	0	2	2	0	1	1	1	2	3	0	0	0	0	0	0	1	1	0	0	3	1	2	0	1	53
Electronic Information Center - Superior Court	6	7	6	8	1	0	0	0	4	0	4	2	1	4	1	1	0	1	1	1	7	6	1	3	1	5	2	0	1	2	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	80
"Enforcement of Smoking, Cigarette and Tobacco Regulations"	6	6	6	11	5	9	19	27	12	8	8	2	13	21	14	9	13	13	11	14	17	10	19	6	17	12	8	9	9	21	42	24	19	27	27	28	25	6	31	5	12	17	11	23	2	654
Equal Benefits for Domestics Partners and Spouses	6	1	2	3	0	1	0	0	2	1	0	1	0	0	1	2	2	0	0	0	0	0	2	3	0	0	0	0	0	1	0	0	1	3	2	1	1	0	1	2	0	1	0	0	0	40
Fire - Report a Fire Hazard - Bureau of Fire Prevention	6	7	7	4	8	13	11	15	9	11	10	8	4	9	9	4	5	13	7	14	6	9	10	11	20	6	10	10	4	7	18	6	10	9	5	6	6	2	5	2	6	0	3	4	0	349
Fire Department - Fire Station Locations	6	2	3	6	8	7	1	12	4	6	1	4	1	4	10	11	1	9	7	12	6	3	2	7	5	8	6	10	6	6	4	5	6	3	5	9	6	2	2	11	3	3	1	2	0	236
Free Wifi - Market Street and Parks - Feedback and Support	6	10	6	4	5	4	5	11	14	7	8	2	7	8	8	9	1	39	4	20	44	25	9	7	22	6	19	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	354
Friends of the Urban Forest (FUF)	6	3	5	5	5	2	2	6	7	5	4	2	2	3	3	6	3	3	7	3	1	1	1	2	5	2	0	0	5	3	2	0	2	2	4	2	0	3	0	2	1	0	2	0	1	123
Greyhound bus (Transbay Terminal) contact information	6	4	8	7	9	1	2	10	8	6	10	13	7	10	4	4	6	4	3	7	8	9	12	7	12	1	5	11	6	12	7	4	15	15	10	4	13	7	11	8	12	8	10	22	0	358
Hands Free Cell Phone Law	6	4	3	3	2	1	7	2	2	5	3	2	2	2	3	5	5	2	4	3	2	2	2	3	0	3	2	1	2	2	0	2	0	0	2	2	1	1	3	0	0	2	1	0	0	99
How can I apply for reducing my taxes as a homeowner (Homeowners Exemption Info)	6	3	7	9	25	36	4	6	12	3	1	5	4	9	8	17	8	43	2	10	30	3	9	10	15	6	7	12	24	32	7	9	18	2	9	5	7	15	6	6	13	26	4	5	4	502
How do I add other names (children) to my deed?  Will that change the value of my house?	6	5	10	4	8	6	9	4	2	4	5	3	7	3	8	6	4	8	4	4	11	5	5	2	0	0	4	5	1	4	2	5	3	4	0	0	7	4	6	4	0	3	1	5	0	191
How much does it cost to record a document?	6	1	0	0	1	4	0	4	3	1	0	5	2	0	2	0	0	0	0	1	1	0	0	1	1	1	1	0	1	0	0	1	1	4	2	2	2	1	0	0	0	0	0	1	0	50
Information About: Location of Sheriff Offices and Jails	6	7	7	5	4	4	11	4	5	12	6	7	6	7	12	3	4	11	12	3	4	6	5	4	7	4	12	5	6	6	4	8	11	7	10	7	7	1	5	4	4	9	3	3	0	278
Leave a message for the Medical Examiner	6	11	7	5	10	12	13	9	12	7	12	5	16	13	15	10	6	6	9	1	17	8	7	14	17	15	10	12	11	14	17	12	11	17	16	12	8	14	7	8	7	11	23	6	4	483
Location of SFMTA Muni ADA Hearing	6	2	1	6	3	0	2	2	4	2	2	1	1	0	1	1	2	2	2	1	1	2	0	3	2	0	0	0	2	0	2	2	3	4	1	3	1	0	0	0	0	0	0	1	0	68
MUNI - Purchasing 1-Day unlimited-ride Passport	6	6	5	10	10	11	11	14	14	12	14	13	19	11	11	7	6	10	8	14	20	17	16	19	14	17	6	15	6	10	9	14	13	6	11	8	8	2	8	4	5	3	7	8	2	460
Muni Bulletins and Alerts	6	13	8	18	14	42	66	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195
Museums - Free admission days	6	4	6	3	10	12	14	13	9	24	12	6	12	11	11	10	13	8	24	11	16	7	16	6	13	9	14	7	7	18	11	9	14	24	16	16	13	16	16	10	9	12	13	15	7	533
Parking Tickets - General Information	6	9	2	4	9	10	5	11	11	25	10	34	36	27	24	14	22	14	22	8	25	12	14	24	19	12	29	18	7	15	8	1	1	1	2	5	3	0	2	0	2	5	2	3	0	513
Pictures of Taxi Companies Color Schemes	6	6	10	7	11	11	13	13	16	18	10	16	12	11	19	18	14	6	13	11	15	27	12	15	15	4	7	13	9	17	19	8	11	6	11	9	8	2	2	0	0	2	1	5	0	459
PUC - Bureau of Environmental Regulation Management	6	5	5	3	2	4	2	2	0	1	0	5	4	0	1	3	1	2	8	2	4	3	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75
Questions about consumer fraud	6	13	7	3	6	9	7	10	9	6	11	7	7	7	9	15	17	7	15	9	7	12	27	4	10	4	8	14	10	10	7	13	10	12	3	16	9	7	3	0	2	2	3	2	0	375
Raccoon (Wildlife) Removal | Report Sick or Injured Animal or Wildlife	6	15	4	9	7	14	13	17	15	5	6	6	12	10	6	9	15	18	17	14	12	5	14	12	6	11	18	7	14	8	25	22	23	13	22	9	12	7	0	0	0	0	0	0	0	458
Report an Illegal Business (Business not being registered with the City)	6	5	18	12	7	9	11	8	5	4	5	14	2	4	3	7	9	3	6	5	9	4	10	8	11	8	2	7	9	6	3	5	6	9	6	14	4	8	10	2	10	7	4	5	0	310
Reporting abandoned bicycles	6	1	2	2	4	2	1	3	1	2	1	2	6	9	2	2	1	0	1	1	4	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	2	0	1	0	0	0	0	0	60
Request an estimated amount of Dept of Building Inspection permit fee to file for a building permit or to submit plans based on the estimated valuation of labor and materials	6	2	1	0	2	8	6	5	4	4	5	9	9	11	4	3	7	9	2	3	2	4	1	4	3	3	11	2	2	6	10	7	6	11	7	3	0	0	1	0	0	0	0	0	1	184
Request pick up lost animal- Non emergency	6	0	1	3	5	6	2	0	3	4	4	6	2	3	2	11	3	6	5	3	1	2	6	4	4	1	3	2	3	5	3	4	3	8	4	1	2	4	3	2	2	2	4	1	0	149
Residential Parking Permits - Permit Areas (pdf)	6	2	7	6	9	10	14	10	8	3	9	10	4	4	7	7	8	8	15	21	27	51	33	34	60	61	61	43	33	50	52	56	37	16	9	16	4	1	2	5	10	5	3	4	0	841
San Francisco Zoo General Information	6	5	0	1	6	4	3	4	4	8	1	9	3	1	1	0	2	0	5	3	6	9	2	7	9	6	8	2	1	7	4	6	4	8	3	9	5	0	0	0	1	1	0	1	0	165
SFMTA Parking Permit - Press / Media	6	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
Sheriff - Central Warrant Bureau	6	1	3	2	2	0	1	0	0	0	1	0	1	1	3	2	4	2	0	1	1	0	1	4	4	1	2	2	4	0	0	3	3	6	1	1	2	1	0	1	3	2	1	2	1	76
Street and Sidewalk Permits	6	8	6	2	10	3	7	7	3	8	7	3	5	8	3	1	6	7	10	2	6	5	9	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134
"Streetlight Repair Request - Street light (burnt out, flickering, damaged)"	6	10	9	10	8	13	6	11	4	11	2	5	6	14	9	11	4	14	7	7	14	4	13	5	13	9	9	7	11	14	1	7	4	3	6	9	8	5	10	11	5	9	1	3	0	348
Summer Day Camps	6	0	1	0	0	0	0	0	1	0	0	2	0	0	3	0	0	0	0	2	1	6	1	1	1	0	2	1	0	0	0	0	0	2	3	1	4	1	0	0	0	0	0	0	0	39
Taxi Detail General Information	6	1	2	1	2	1	3	3	0	1	4	2	2	1	4	1	2	0	3	5	1	3	5	1	1	2	3	0	2	1	7	5	3	1	1	2	0	2	1	1	1	3	1	1	0	92
Treasurer - Tax Collector: Business Taxes & Fees Calendar	6	6	20	16	6	11	11	13	6	13	14	27	22	16	20	15	27	25	29	27	35	25	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	448
Vehicle Traffic Noise Complaints	6	1	1	0	5	6	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31
Voter Registration - Voter Notification Card or Voter Status	6	3	3	1	4	14	4	4	1	1	1	1	2	0	1	0	11	16	6	3	2	4	10	1	1	1	0	1	2	4	0	0	1	0	1	0	1	1	0	0	5	23	6	2	2	150
What to wear at my ceremony?	6	3	2	9	0	0	0	1	1	2	2	2	0	2	1	2	2	2	0	0	0	0	1	1	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	43
311 Call Centers in California	5	7	8	6	5	8	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52
"Application/permit for electrical wiring and/or fixtures - ONLINE - update registration, license information"	5	3	1	3	2	7	14	5	3	6	7	10	5	8	5	5	3	2	4	5	7	4	5	5	2	10	6	1	4	4	3	6	3	7	2	2	2	0	5	0	4	3	1	0	0	189
Birth Certificate - Register a Home Birth	5	6	4	6	1	6	14	8	6	6	6	1	5	2	8	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87
"California Public Utilities Commission (Regulates Electric, Gas, Telephone or Utility)"	5	1	5	2	0	2	1	3	3	7	2	6	4	4	9	3	4	1	0	1	4	2	2	0	1	4	2	2	4	2	3	3	5	1	2	3	1	0	1	4	0	1	6	3	0	119
Child Support Services - Form - Child Support Handbook - PDF	5	2	0	0	2	2	1	3	0	3	1	0	12	0	2	1	4	2	2	3	4	1	1	0	2	1	2	1	6	5	3	1	0	1	3	3	3	8	2	2	5	4	7	4	0	114
City and County of San Francisco Employment Verification	5	0	2	3	7	3	11	2	3	11	0	2	3	4	2	2	2	5	1	3	1	4	2	1	0	1	2	1	0	0	0	2	4	3	3	4	0	0	0	0	0	0	0	0	0	99
City Attorney - Public Information Requests	5	7	6	7	2	3	5	4	7	1	0	5	4	3	4	8	4	7	3	6	8	4	2	4	5	9	3	1	3	3	4	4	12	11	3	3	5	0	1	0	0	0	0	0	0	176
City Hall - Tour Information	5	2	5	10	6	3	2	5	9	11	5	13	4	4	2	17	11	10	15	10	5	8	5	8	10	6	6	7	8	9	5	2	9	7	14	9	10	2	3	4	3	0	3	1	0	293
City Payment Center - Passport Applications and Processing	5	4	2	2	2	1	6	6	2	3	11	14	19	1	2	1	0	2	1	0	4	0	5	3	3	5	6	1	4	9	4	5	14	7	14	32	22	9	16	14	9	13	10	9	0	302
Claims against the City - Forms	5	3	3	6	5	2	3	2	2	1	1	1	1	4	2	3	2	1	1	1	3	0	1	2	2	2	0	0	1	2	1	1	3	0	1	2	0	0	1	0	2	1	0	2	0	76
"Complaint - Building Construction - Porta-Potty, portable toilet issues"	5	12	4	9	8	9	16	14	4	11	9	6	10	15	8	5	7	15	15	10	8	12	4	5	13	4	3	7	4	5	3	6	15	8	8	3	5	4	5	2	5	5	4	2	0	332
Complaint - Missing or Damaged Utility Cover from  Street	5	3	4	2	1	2	3	0	4	2	4	1	4	3	5	1	1	2	0	2	0	2	3	2	1	1	0	1	0	1	8	2	2	1	2	1	1	3	0	0	0	2	0	0	0	82
Complaint:  Report Distribution of Yellow Pages Phone Book	5	2	0	2	9	5	2	3	2	3	1	3	1	1	2	1	1	5	2	3	0	1	0	4	2	1	0	3	2	3	2	2	9	3	1	2	0	1	0	2	2	0	0	0	0	93
